State,Year,Baby Food,Bread & Cereal Products,Confectionery & Snacks,Convenience Food,Dairy Products & Eggs,Fish & Seafood,Fruits & Nuts,Meat,Oils & Fats,Pet Food,Sauces & Spices,Spreads & Sweeteners,Vegetables,Total,ARPC = Average revenue per capita,ARPC Baby food,ARPC Bread & Cereal Products,ARPC Confectionery & Snacks,ARPC Convenience Food,ARPC Dairy Products & Eggs,ARPC Fish & Seafood,ARPC Fruits & Nuts,ARPC Meat,ARPC Oils & Fats,ARPC Pet Food,ARPC Sauces & Spices,ARPC Spreads & Sweeteners,ARPC Vegetables,ARPC total,PPU = Price per unit,PPU Baby food,PPU Bread & Cereal Products,PPU Confectionery & Snacks,PPU Convenience Food,PPU Dairy Products & Eggs,PPU Fish & Seafood,PPU Fruits & Nuts,PPU Meat,PPU Oils & Fats,PPU Pet Food,PPU Sauces & Spices,PPU Spreads & Sweeteners,PPU Vegetables,PPU Average,Health outcomes,Obesity,Diabetes,Inactivity,Heart Disease,Life Expectancy,Degree,Income,Tobacco
Pennsylvania,2021,1.17,38.32,65.73,13.57,98.08,2.37,38.26,36.38,9.17,28.39,9.32,7.44,50.33,398.5,,12.88,150.2,650.8,106.1,220.4,62.98,173.4,351.9,35.9,94.82,56.77,22.52,175.7,2114,,10.97,3.92,9.9,7.82,2.25,26.54,4.53,9.67,3.58,3.34,6.09,3.03,3.49,5.31,,30.8,11.0,22,180.6,78.45,45.87,64035,14.4
Pennsylvania,2022,1.15,37.43,65.24,13.57,100.2,2.19,37.96,37.18,8.18,31.39,9.24,7.12,50.14,401,,13.68,161.1,711.9,117.1,236.7,64.68,182.7,391.3,34.56,113.7,61.14,23.49,188.7,2301,,11.9,4.3,10.91,8.63,2.36,29.5,4.81,10.52,4.19,3.62,6.62,3.3,3.76,5.74,,33.1,9.2,24.6,173.4,78.02,47.5,64506,14.9
Pennsylvania,2023,1.15,38.43,65.99,13.75,102.3,2.35,38.06,38.41,8.75,33.09,9.33,7.93,50.7,410.2,,14.07,170.2,740.7,121.8,248.8,70.41,190.4,414.3,37.32,123.7,63.73,25.76,195.7,2417,,12.28,4.43,11.22,8.86,2.43,30,5,10.79,4.24,3.74,6.83,3.25,3.86,5.89,,31.6,9.7,23.4,,78.02,48.56,67839,
Rhode Island,2021,1.07,32.99,56.59,11.31,83.77,1.97,32.93,30.25,7.24,25.97,8.52,5.61,44.34,342.6,,11.6,145,628.3,91.15,209.3,53.3,181.2,297.8,34.41,85.43,51.15,19.72,181.5,1990,,10.81,4.39,11.1,8.06,2.5,27.02,5.5,9.85,5.02,3.29,6,3.52,4.09,5.81,,28.5,10.1,23.5,158.7,79.84,46.24,63657,12.4
Rhode Island,2022,1.04,32.51,56.66,11.42,84.53,1.84,33.3,31.23,6.65,28.35,8.35,5.47,44.24,345.6,,11.61,147.2,650.7,99.31,215.8,50.68,179.8,306.6,33.34,96.47,51.86,20.65,185.1,2049,,11.18,4.53,11.48,8.7,2.55,27.52,5.4,9.82,5.26,3.4,6.21,3.78,4.18,5.93,,30.1,9.1,26,152.6,79.37,48,63551,11.8
Rhode Island,2023,1.03,33.21,57.03,11.47,85.16,1.96,33.26,32.08,7.16,29.64,8.36,6.02,44.35,350.7,,11.9,154.8,673.7,102.8,225.1,54.84,186.7,322.7,35.91,104.6,53.89,22.54,190.7,2140,,11.6,4.66,11.81,8.97,2.64,27.98,5.61,10.06,5.29,3.53,6.45,3.75,4.3,6.1,,30.6,9.0,22.9,,79.37,49.68,66480,
South Carolina,2021,1.6,45.56,78.16,16.7,99.33,3,50.85,45.95,13.24,38.73,12.71,11.77,63.9,481.5,,16.81,166.1,719.8,120.7,203.5,75.1,184.8,419.6,40.95,123.7,74.09,31.41,204.8,2381,,10.5,3.65,9.21,7.23,2.05,25.05,3.64,9.13,3.25,3.2,5.83,2.67,3.21,4.95,,34.0,13.3,26,189.1,77.12,41.98,52822,15.5
South Carolina,2022,1.57,44.46,77.49,16.7,99.07,2.76,49.89,46.84,11.81,42.82,12.61,11.08,64.64,481.7,,17.9,171.3,756.9,128.9,226.1,75.62,203.8,457.5,42.56,148.8,80,34.58,221.3,2565,,11.42,3.85,9.77,7.72,2.28,27.38,4.09,9.77,3.51,3.48,6.35,3.12,3.42,5.33,,35.5,11.5,28.5,177.7,76.44,43.81,53615,15.4
South Carolina,2023,1.58,45.44,78.03,16.83,100.1,2.91,50.23,47.62,12.56,45.67,12.88,12.09,64.67,490.6,,18.32,180.5,785.4,134.2,235.7,81.57,211.4,480,46.05,161.1,82.99,37.72,228.7,2684,,11.59,3.97,10.07,7.97,2.36,28.03,4.21,10.08,3.56,3.53,6.45,3.12,3.54,5.47,,36.7,11.9,25.6,,76.44,45.33,56123,
South Dakota,2021,1.34,40.27,69.07,15.41,117.8,2.5,34.9,38.25,9.13,32.45,10.65,7.08,69.81,448.7,,12.82,144.6,626.7,118.2,219.9,58.17,173.6,325,36.38,94.42,56.53,21.38,187.7,2075,,9.56,3.59,9.07,7.67,1.87,23.32,4.97,8.5,3.97,2.91,5.31,3.02,2.69,4.63,,32.4,10.1,22,153,78.91,46.62,65411,15.3
