State,Year,Baby Food,Bread & Cereal Products,Confectionery & Snacks,Convenience Food,Dairy Products & Eggs,Fish & Seafood,Fruits & Nuts,Meat,Oils & Fats,Pet Food,Sauces & Spices,Spreads & Sweeteners,Vegetables,Total,ARPC = Average revenue per capita,ARPC Baby food,ARPC Bread & Cereal Products,ARPC Confectionery & Snacks,ARPC Convenience Food,ARPC Dairy Products & Eggs,ARPC Fish & Seafood,ARPC Fruits & Nuts,ARPC Meat,ARPC Oils & Fats,ARPC Pet Food,ARPC Sauces & Spices,ARPC Spreads & Sweeteners,ARPC Vegetables,ARPC total,PPU = Price per unit,PPU Baby food,PPU Bread & Cereal Products,PPU Confectionery & Snacks,PPU Convenience Food,PPU Dairy Products & Eggs,PPU Fish & Seafood,PPU Fruits & Nuts,PPU Meat,PPU Oils & Fats,PPU Pet Food,PPU Sauces & Spices,PPU Spreads & Sweeteners,PPU Vegetables,PPU Average,Health outcomes,Obesity,Diabetes,Inactivity,Heart Disease,Life Expectancy,Degree,Income,Tobacco
Massachusetts,2023,1.14,42.17,72.42,12.68,106.4,2.19,39.8,35.9,9.43,32.79,9.24,7.36,50.86,422.4,,14.56,199.70,869.00,116.50,279.40,64.70,229.20,380.70,45.79,128.10,65.98,28.06,220.60,2642.00,,12.83,4.74,12.00,9.19,2.63,29.49,5.76,10.60,4.04,3.91,7.14,3.82,4.34,6.26,,24.5,7.7,19.4,,80.19,57.88,87812,
Michigan,2021,1.21,37.39,64.14,14.28,106.8,2.46,37.69,37.65,8.84,29.29,9.61,6.31,58.88,414.6,,13.14,141.60,613.60,104.30,203.30,58.96,168.30,329.40,34.74,96.75,57.92,19.6,181,2023,,10.85,3.79,9.57,7.30,1.90,24.01,4.47,8.75,3.88,3.30,6.03,3.11,3.07,4.88,,32.4,11.0,23.1,209.6,78.14,42.72,56597,17
Michigan,2022,1.18,36.31,63.29,14.06,108.6,2.26,36.85,38.26,7.99,32.28,9.5,5.93,58.94,415.4,,13.36,151.00,667.30,114.10,220.40,58.29,175.60,352.60,33.16,111.10,59.72,20.33,195,2172,,11.31,4.16,10.54,8.12,2.03,25.83,4.77,9.22,4.43,3.44,6.28,3.43,3.31,5.23,,35.8,9.5,24.6,206.3,77.48,43.99,57043,15.2
Michigan,2023,1.17,37.26,63.99,14.17,108.3,2.39,36.68,39.12,8.52,33.69,9.5,6.55,58.79,420.1,,13.71,158.90,691.50,118.70,228.40,62.75,180.30,369.30,35.92,120.50,62.10,22.13,201,2265,,11.76,4.26,10.81,8.38,2.11,26.25,4.91,9.44,4.46,3.58,6.54,3.38,3.42,5.39,,35.3,10.6,20.2,,77.48,44.76,59714,
Minnesota,2021,1.17,36.3,62.27,13.44,104.7,2.24,32.38,34.29,7.75,28.31,9.29,5.76,55.44,393.3,,12.73,144.20,624.90,107.40,216.50,54.29,183.70,303.30,33.34,93.70,56.10,18.89,195.80,2045.00,,10.88,3.97,10.03,7.99,2.07,24.28,5.68,8.85,4.60,3.31,6.04,3.28,3.53,5.20,,29.0,8.5,19.6,123.9,80.92,53.24,66770,13.4
Minnesota,2022,1.15,35.27,61.46,13.25,103.2,2,30.65,33.84,6.82,31.35,9.23,5.18,54.34,387.7,,12.77,151.60,670.10,116.90,230.90,52.40,187.20,317.10,31.59,106.20,57.07,19.08,206.90,2160.00,,11.13,4.30,10.90,8.82,2.24,26.26,6.11,9.37,4.95,3.39,6.18,3.69,3.81,5.57,,30.0,7.8,19.7,124.1,80.4,54.34,68874,13
Minnesota,2023,1.13,36.25,62.25,13.35,103.9,2.12,30.43,34.61,7.27,32.74,9.23,5.72,54.19,393.2,,13.03,158.80,691.00,121.00,239.30,56.20,191.60,330.70,33.50,114.60,59.03,20.69,211.80,2241.00,,11.50,4.38,11.10,9.07,2.30,26.57,6.30,9.56,4.97,3.50,6.40,3.62,3.91,5.70,,30.6,7.8,18.7,,80.4,55.48,71866,
Mississippi,2021,1.57,46.4,79.6,19.1,99.77,3.18,48.96,48.7,17.21,38.01,12.47,14.95,64.31,494.2,,16.34,155.90,675.70,121.20,181.00,74.47,145.90,416.10,42.58,120.30,72.01,36.63,180.00,2238.00,,10.40,3.36,8.49,6.35,1.81,23.44,2.98,8.54,3.51,3.17,5.77,2.45,2.80,4.53,,39.1,14.6,30.4,255.2,74.88,35.48,46577,19.6
Mississippi,2022,1.66,44.35,77.3,18.99,99.34,2.83,46.81,47.98,14.58,45.23,13.32,13.85,64.04,490.3,,19.92,156.30,690.70,125.60,195.80,72.40,154.40,438.00,42.18,165.60,89.03,37.00,191.30,2378.00,,12.03,3.52,8.94,6.62,1.97,25.59,3.30,9.13,3.77,3.66,6.69,2.67,2.99,4.85,,41.2,13.3,36.9,248,73.89,37.06,46388,17.4
Mississippi,2023,1.68,45.68,78.45,19.17,99.66,2.97,47.45,48.62,16.12,48.63,13.71,15.67,63.71,501.5,,20.99,164.60,716.30,132.60,203.80,77.59,158.40,456.60,46.58,184.60,95.10,41.23,192.60,2491.00,,12.47,3.60,9.13,6.92,2.05,26.11,3.34,9.39,3.81,3.80,6.94,2.63,3.02,4.97,,39.9,13.2,28.9,,73.89,48.45,48110,
Missouri,2021,1.35,36.24,62.17,15.7,103.8,2.46,36,37.65,9.71,32.7,10.73,9.31,59.84,417.6,,13.84,134.30,582.00,115.90,202.20,61.28,153.90,342.40,32.73,101.90,61.00,24.84,176,2002,,10.24,3.71,9.36,7.39,1.95,24.95,4.27,9.09,4.07,3.12,5.69,2.67,2.94,4.79,,32.5,11.4,25.5,202.4,77.3,41.97,56068,17.3
Missouri,2022,1.32,35.61,62.07,15.5,103.1,2.24,33.86,38.01,8.74,36.01,10.6,8.46,59.91,415.4,,13.89,143.40,633.50,125.10,211.90,60.51,162.80,366.10,33.73,115.50,62.09,25.67,188.1,2142,,10.54,4.03,10.21,8.08,2.06,27.00,4.81,9.63,4.45,3.21,5.86,3.03,3.14,5.16,,34.6,9.0,29.6,199.8,76.64,43.26,57825,16.8
Missouri,2023,1.3,36.35,62.43,15.57,104.4,2.37,33.97,38.85,9.28,37.5,10.57,9.24,59.47,421.3,,14.08,150.10,653.20,129.30,219.40,65.16,167.10,383.40,36.00,123.80,63.79,27.83,193.3,2227,,10.85,4.13,10.46,8.31,2.10,27.45,4.92,9.87,4.54,3.30,6.03,3.01,3.25,5.29,,34.2,9.4,24.9,,76.64,44.76,61302,
Montana,2021,0.72,22.5,38.59,8.59,65.59,1.44,19.48,22.03,5.03,17.54,5.75,3.98,38.86,250.1,,7.25,81.71,354.10,66.01,127.90,34.87,100.80,194.80,20.75,53.38,31.96,12.62,108.8,1195,,10.00,3.63,9.18,7.69,1.95,24.27,5.18,8.84,3.25,3.04,5.55,3.17,2.80,4.78,,27.1,8.9,21.7,175.2,78.91,45.98,58337,14.4
Montana,2022,0.71,22.16,38.63,8.57,66,1.3,18.57,22.1,4.6,19.3,5.68,3.72,38.3,249.7,,7.72,83.83,370.50,70.14,136.70,34.46,107.90,208.50,20.04,64.15,34.49,12.96,118,1269,,10.92,3.78,9.59,8.18,2.07,26.44,5.81,9.43,3.78,3.32,6.07,3.48,3.08,5.08,,28.0,6.4,18.6,165.9,78.37,46.17,60984,15.2
Montana,2023,0.69,22.37,38.41,8.55,65.67,1.35,18.07,22.14,4.81,19.86,5.6,4.03,37.61,249.2,,7.73,86.24,375.40,71.75,139.80,36.36,109.00,213.90,20.91,68.01,35.04,13.85,118.7,1297,,11.25,3.86,9.77,8.40,2.13,26.87,6.03,9.66,3.84,3.43,6.26,3.44,3.16,5.20,,28.9,7.7,18,,78.37,46.44,63918,
Nebraska,2021,1.41,40.9,70.16,15.39,116.1,2.67,37.16,40.85,9.13,34.07,11.18,6.87,69.79,455.7,,14.29,145.30,629.90,115.60,221.10,60.87,172.6,340.1,33.48,105.2,62.98,21.26,187.6,2110,,10.14,3.55,8.98,7.51,1.90,22.84,4.65,8.32,3.70,3.09,5.63,3.09,2.69,4.63,,33.4,10.0,22.7,160.8,79.57,48.89,62660,13.4
Nebraska,2022,1.38,39.85,69.45,15.28,118.3,2.43,35.71,41.23,8.09,37.62,11.08,6.33,69.72,456.5,,14.89,148.60,656.80,121.20,230.20,60.61,189.7,366.7,32.73,123.8,66.54,21.74,203.5,2237,,10.81,3.73,9.46,7.93,1.95,24.93,5.31,8.90,4.20,3.29,6.01,3.44,2.92,4.9,,34.3,9.1,26.6,154.3,79.02,49.38,64263,13
Nebraska,2023,1.37,41.3,70.93,15.66,119.8,2.59,35.71,42.29,8.88,39.58,11.16,7.35,69.89,466.5,,15.37,156.50,681.30,128.20,238.70,65.54,199.9,385.7,35.83,135.2,69.64,24.39,208.3,2344,,11.22,3.79,9.60,8.18,1.99,25.36,5.60,9.12,4.26,3.42,6.24,3.32,2.98,5.03,,34.0,8.9,21,,79.02,49.91,67800,
Nevada,2021,1.67,39.64,68,14.39,100.2,2.78,44.17,42.67,8.39,40.34,13.24,6.18,59.12,440.8,,15.49,146.30,633.90,108.10,204.60,63.48,184.10,354.70,32.56,114.10,68.29,21.48,181.70,2129.00,,9.29,3.69,9.32,7.52,2.04,22.81,4.17,8.31,3.18,2.83,5.16,3.48,3.07,4.83,,27.1,10.5,22.5,208.1,78.67,35.4,61020,15.5
Nevada,2022,1.65,39.11,68.16,14.42,98.3,2.5,44.16,42.35,7.47,45.04,13.26,5.8,57.42,439.6,,16.38,157.90,697.90,115.80,221.30,63.62,196.90,384.90,33.10,136.20,73.20,22.16,192.00,2311.00,,9.93,4.04,10.24,8.03,2.25,25.47,4.46,9.09,3.67,3.02,5.52,3.82,3.34,5.26,,30.5,9.9,25.6,196.8,78.11,36.09,62092,14.8
Nevada,2023,1.62,39.29,67.48,14.3,98.21,2.62,43.85,42.79,7.86,46.8,13.2,6.3,57.97,442.3,,16.51,163.50,711.50,118.50,227.00,67.42,201.80,396.70,35.06,145.20,74.78,23.71,197.30,2379.00,,10.19,4.16,10.54,8.29,2.31,25.78,4.60,9.27,3.67,3.1,5.67,3.76,3.40,5.38,,28.1,9.9,24.9,,78.11,36.72,65168,
New Hampshire,2021,1.49,59.5,102.1,18.92,159.8,3.37,49.05,51.7,13.7,36.12,11.85,10.72,76.42,594.7,,16.19,251.40,1090.00,147.20,358.90,83.75,249.80,468.00,63.02,119.20,71.38,34.34,263.1,3216,,10.84,4.23,10.68,7.78,2.25,24.84,5.09,9.05,5.04,3.30,6.02,3.21,3.44,5.41,,28.6,9.6,20.8,154.1,79.69,50.51,72214,12.3
New Hampshire,2022,1.48,56.5,98.48,18.64,156,3.04,48.78,51.61,12,40.52,11.93,9.99,76.03,585,,17.49,258.80,1144.00,158.10,372.20,80.49,258.00,487.00,59.46,145.40,78.15,35.23,275.7,3370,,11.79,4.58,11.62,8.48,2.39,26.45,5.29,9.44,5.22,3.59,6.55,3.53,3.63,5.76,,32.1,8.0,21.1,147.5,79.59,52.03,73711,11.2
New Hampshire,2023,1.48,58.56,100.6,18.88,158.8,3.26,48.69,53.27,12.89,42.72,12.04,11.07,76.96,599.2,,18.09,274.20,1193.00,164.40,388.80,87.86,267.90,517.00,64.12,159.10,81.95,38.46,287.5,3543,,12.23,4.68,11.87,8.71,2.45,26.99,5.5,9.71,5.25,3.72,6.80,3.47,3.74,5.91,,30.5,7.4,18.6,,79.59,52.97,77260,
New Jersey,2021,1.56,51.62,88.54,16.84,124.9,3.12,51.72,47.86,12.41,37.67,12.36,9.4,64.74,522.7,,17.08,200.00,864.10,131.30,285.50,80.03,228.20,447.10,48.99,114.5,74.43,29.09,229.3,2750,,11.14,3.94,9.95,7.99,2.32,26.27,4.53,9.58,3.92,3.39,6.19,3.19,3.63,5.39,,27.0,9.9,26.6,157.5,80.49,52.15,76069,10.7
